symbol,name,sector
PUDP.JK,,
PURA.JK,,
PURE.JK,,
PURI.JK,,
PWON.JK,Pakuwon Jati,Real Estate
PYFA.JK,,
PZZA.JK,,
RAAM.JK,,
RAFI.JK,,
RAJA.JK,,
RALS.JK,,
RANC.JK,,
RATU.JK,,
RBMS.JK,,
RCCC.JK,,
RDTX.JK,,
REAL.JK,,
RELF.JK,,
RELI.JK,,
RGAS.JK,,
RICY.JK,,
RIGS.JK,,
RIMO.JK,,
RISE.JK,,
RMBA.JK,,
RMKE.JK,,
RMKO.JK,,
ROCK.JK,,
RODA.JK,,
RONY.JK,,
ROTI.JK,,
RSCH.JK,,
RSGK.JK,,
RUIS.JK,,
RUNS.JK,,
SAFE.JK,,
SAGE.JK,,
SAME.JK,,
SAMF.JK,,
SAPX.JK,,
SATU.JK,,
SBAT.JK,,
SBMA.JK,,
SCCO.JK,,
SCMA.JK,Surya Citra Media,Communication
SCNP.JK,,
SCPI.JK,,
SDMU.JK,,
SDPC.JK,,
SDRA.JK,,
SEMA.JK,,
SFAN.JK,,
SGER.JK,,
SGRO.JK,,
SHID.JK,,
SHIP.JK,,
SICO.JK,,
SIDO.JK,Industri Jamu Sido Muncul,Healthcare
SILO.JK,,
SIMA.JK,,
SIMP.JK,,
SINI.JK,,
SIPD.JK,,
SKBM.JK,,
SKLT.JK,,
SKRN.JK,,
SKYB.JK,,
SLIS.JK,,
SMAR.JK,,
SMBR.JK,,
SMCB.JK,,
SMDM.JK,,
SMDR.JK,,
SMGA.JK,,
SMGR.JK,Semen Indonesia,Basic Materials
SMIL.JK,,
SMKL.JK,,
SMKM.JK,,
SMLE.JK,,
SMMA.JK,,
SMMT.JK,,
SMRA.JK,Summarecon Agung,Real Estate
SMRU.JK,,
SMSM.JK,,
SNLK.JK,,
SOCI.JK,,
SOFA.JK,,
SOHO.JK,,
SOLA.JK,,
SONA.JK,,
SOSS.JK,,
SOTS.JK,,
SOUL.JK,,
SPMA.JK,,
SPRE.JK,,
SPTO.JK,,
SQMI.JK,,
SRAJ.JK,,
SRIL.JK,,
SRSN.JK,,
SRTG.JK,,
SSIA.JK,,
SSMS.JK,,
SSTM.JK,,
STAA.JK,,
STAR.JK,,
STRK.JK,,
STTP.JK,,
SUGI.JK,,
SULI.JK,,
SUNI.JK,,
SUPR.JK,,
SURE.JK,,
SURI.JK,,
SWAT.JK,,
SWID.JK,,
TALF.JK,,
TAMA.JK,,
TAMU.JK,,
TAPG.JK,,
TARA.JK,,
TAXI.JK,,
TAYS.JK,,
TBIG.JK,Tower Bersama,Communication
TBLA.JK,,
TBMS.JK,,
TCID.JK,,
TCPI.JK,,
TDPM.JK,,
TEBE.JK,,
TECH.JK,,
TELE.JK,,
TFAS.JK,,
TFCO.JK,,
TGKA.JK,,
TGRA.JK,,
TGUK.JK,,
TIFA.JK,,
TINS.JK,Timah,Basic Materials
TIRA.JK,,
TIRT.JK,,
TKIM.JK,Pabrik Kertas Tjiwi Kimia,Basic Materials
TLDN.JK,,
TLKM.JK,Telkom Indonesia,Communication
TMAS.JK,,
TMPO.JK,,
TNCA.JK,,
TOBA.JK,,
TOOL.JK,,
TOPS.JK,,
TOSK.JK,,
TOTL.JK,,
TOTO.JK,,
TOWR.JK,Sarana Menara Nusantara,Communication
TOYS.JK,,
